user_id,run_id,weather,map_name,start_x,start_y,start_z,end_x,end_y,end_z,arousal_start,arousal_end,hr_bpm_start,hr_bpm_end,model_pred_start,model_prob_start,model_pred_end,model_prob_end,emotion_label_start,emotion_prob_start,emotion_label_end,emotion_prob_end,timestamp_start,timestamp_end,frame_start,frame_end,sim_time_start,sim_time_end,details
participant_03,1,day,Town10HD,107.24505615234375,-14.864678382873535,0.0018154525896534324,105.03719329833984,-38.47012710571289,0.0017644880572333932,0.376,0.376,54,63,None,0.983,pick_floor,0.995,neutral,0.683,fear,0.912,2026-02-16T10:41:35.590314,2026-02-16T10:41:40.159823,368640,368719,7067.772409107536,7070.537409119308,window_2
participant_03,2,day,Town10HD,41.48754119873047,63.31978988647461,0.0019620894454419613,45.21037673950195,46.17741012573242,0.0019826125353574753,,,49,53,None,0.951,pick_floor,0.987,neutral,0.552,fear,0.928,2026-02-16T10:56:01.841716,2026-02-16T10:56:07.226197,413856,413928,7885.978781431913,7888.498781442642,window_2
participant_03,2,day,Town10HD,45.82756805419922,32.089168548583984,0.0018450545612722635,57.46736145019531,26.61365509033203,0.0016907119425013661,,0.498,56,63,None,0.888,None,0.903,neutral,0.567,neutral,0.812,2026-02-16T10:56:12.649952,2026-02-16T10:56:15.885814,414001,414045,7891.05378145352,7892.593781460077,window_1
participant_03,2,day,Town10HD,81.11614990234375,24.905731201171875,0.0017191314836964011,87.90028381347656,25.20903205871582,-0.0016895675798878074,0.499,0.52,58,57,None,0.96,pick_floor,0.996,neutral,0.949,fear,0.999,2026-02-16T10:56:32.558287,2026-02-16T10:56:36.677470,414286,414346,7901.028781495988,7903.128781504929,window_2
participant_03,2,day,Town10HD,97.99469757080078,20.53553581237793,-0.009377212263643742,103.84329223632812,8.312179565429688,0.0017103576101362705,0.596,0.607,55,55,None,0.967,pick_floor,0.997,neutral,0.335,sad,0.904,2026-02-16T10:56:43.229375,2026-02-16T10:56:56.535616,414439,414615,7906.383781518787,7912.543781545013,window_1
participant_03,2,day,Town10HD,85.8060531616211,-61.46828842163086,0.0018596267327666283,58.31090545654297,-65.68163299560547,0.001906547462567687,0.748,0.981,63,59,None,0.881,pick_floor,0.988,fear,0.388,fear,0.968,2026-02-16T10:57:08.856618,2026-02-16T10:57:13.163427,414791,414851,7918.703781571239,7920.80378158018,window_2
participant_03,2,day,Town10HD,-8.134048461914062,-67.76133728027344,0.0018080520676448941,-30.086669921875,-67.52592468261719,0.0019014739664271474,0.952,0.684,67,59,None,0.889,pick_floor,0.885,neutral,0.465,sad,0.956,2026-02-16T10:57:26.044592,2026-02-16T10:57:31.220521,415040,415117,7927.418781608343,7930.113781619817,window_1
participant_03,2,day,Town10HD,-108.09961700439453,-37.86155700683594,0.0017971801571547985,-111.22420501708984,-2.4996390342712402,0.0019639586098492146,0.559,0.792,77,65,None,1.0,pick_floor,0.999,neutral,0.519,fear,0.98,2026-02-16T10:57:45.155339,2026-02-16T10:57:50.544962,415327,415401,7937.4637816511095,7940.053781662136,window_2
participant_03,2,day,Town10HD,-96.71062469482422,24.22722053527832,0.0018347549485042691,-64.61979675292969,28.63974380493164,0.0019771575462073088,0.88,0.83,62,58,None,0.944,pick_floor,0.992,happy,0.561,sad,0.614,2026-02-16T10:57:58.381313,2026-02-16T10:58:06.955255,415502,415609,7943.5887816771865,7947.333781693131,window_1
participant_03,2,day,Town10HD,12.326255798339844,28.069135665893555,0.0019969558343291283,32.38265609741211,29.5644474029541,0.0016625594580546021,0.792,0.784,62,57,None,0.929,None,0.983,happy,0.669,sad,0.991,2026-02-16T10:58:19.352972,2026-02-16T10:58:23.299319,415772,415827,7953.03878171742,7954.963781725615,window_2
