Trial,Phase,TargetQuadrant,ClickedQuadrant,Correct,ResponseTime_ms,ResponseTime_s,Timeout,TrialStart_UTC_ms,ResponseTimestamp_UTC_ms,subject_id,canonical_subject_id,session_number,session_id,condition,route,order_subgroup,source_file,TrialStart_dt,Response_dt,offline_activation_anchor_dt,offline_activation_annotation_type,offline_activation_reference_label,offline_activation_roll_window_seconds,baseline_first_session_lqm,hr_burden_above_baseline_plus_3bpm_session,hr_burden_above_baseline_plus_3bpm_session_100,hr_burden_above_baseline_plus_3bpm_roll20,hr_burden_above_baseline_plus_3bpm_roll20_100,hr_roll20_valid_sample_count,hr_roll20_coverage_ratio,drive_post10_center_line_crossing_sum,drive_post10_collision_sum,drive_post10_panic_braking_sum
15,2,2,2.0,True,1143.0,1.14,False,1752069878345,1752069879488.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:04:38.345000+02:00,2025-07-09 16:04:39.488000+02:00,2025-07-09 16:04:38.345000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.38095238095238093,38.095238095238095,21.0,1.0,4.61,0.0,0.0
16,1,2,2.0,True,1491.0,1.49,False,1752069886714,1752069888205.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:04:46.714000+02:00,2025-07-09 16:04:48.205000+02:00,2025-07-09 16:04:46.714000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.0,0.0,21.0,1.0,0.46,0.0,0.0
16,2,4,4.0,True,851.0,0.85,False,1752069888206,1752069889057.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:04:48.206000+02:00,2025-07-09 16:04:49.057000+02:00,2025-07-09 16:04:48.206000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.0,0.0,21.0,1.0,0.0,0.0,0.0
17,1,1,1.0,True,1244.0,1.24,False,1752069896723,1752069897967.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:04:56.723000+02:00,2025-07-09 16:04:57.967000+02:00,2025-07-09 16:04:56.723000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.23809523809523808,23.809523809523807,21.0,1.0,0.0,0.0,0.0
17,2,1,1.0,True,894.0,0.89,False,1752069897968,1752069898862.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:04:57.968000+02:00,2025-07-09 16:04:58.862000+02:00,2025-07-09 16:04:57.968000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.2857142857142857,28.57142857142857,21.0,1.0,0.0,0.0,0.0
18,1,1,1.0,True,1123.0,1.12,False,1752069906730,1752069907853.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:05:06.730000+02:00,2025-07-09 16:05:07.853000+02:00,2025-07-09 16:05:06.730000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.7142857142857143,71.42857142857143,21.0,1.0,0.0,0.0,0.0
18,2,2,2.0,True,845.0,0.84,False,1752069907855,1752069908700.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:05:07.855000+02:00,2025-07-09 16:05:08.700000+02:00,2025-07-09 16:05:07.855000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.7619047619047619,76.19047619047619,21.0,1.0,0.0,0.0,0.0
19,1,1,1.0,True,1305.0,1.3,False,1752069916735,1752069918040.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:05:16.735000+02:00,2025-07-09 16:05:18.040000+02:00,2025-07-09 16:05:16.735000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.6666666666666666,66.66666666666666,21.0,1.0,0.59,0.0,0.76
19,2,1,1.0,True,822.0,0.82,False,1752069918043,1752069918865.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:05:18.043000+02:00,2025-07-09 16:05:18.865000+02:00,2025-07-09 16:05:18.043000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.5714285714285714,57.14285714285714,21.0,1.0,0.49,0.0,0.76
20,1,3,3.0,True,973.0,0.97,False,1752069926741,1752069927714.0,0A01,0A01,2,0A01_S2,D,P2,D second,data/surt_logs/0A01_250709_1608.csv,2025-07-09 16:05:26.741000+02:00,2025-07-09 16:05:27.714000+02:00,2025-07-09 16:05:26.741000+02:00,offline_hr_burden_projection,first_session_lower_quartile_median,20,73.0,0.32857142857142857,32.857142857142854,0.19047619047619047,19.047619047619047,21.0,1.0,0.0,0.0,0.0
