id,distracted_route,trial,response_time,clean_recovery_s,matched_progress,order_subgroup,clean_observation_s_recovery,clean_observation_s_control,clean_observation_s_delta,future_event_clean_recovery,future_event_clean_control,future_event_clean_delta,future_risk_score_clean_recovery,future_risk_score_clean_control,future_risk_score_clean_delta,future_event_fixed_5_15_recovery,future_event_fixed_5_15_control,future_event_fixed_5_15_delta,future_risk_score_fixed_5_15_recovery,future_risk_score_fixed_5_15_control,future_risk_score_fixed_5_15_delta,hr_pre10_recovery,hr_pre10_control,hr_pre10_delta,hr_post5_recovery,hr_post5_control,hr_post5_delta,hr_delta_post5_pre10_recovery,hr_delta_post5_pre10_control,hr_delta_post5_pre10_delta,hr_slope_pre10_recovery,hr_slope_pre10_control,hr_slope_pre10_delta,hr_slope_post5_recovery,hr_slope_post5_control,hr_slope_post5_delta,hr_slope_change_recovery,hr_slope_change_control,hr_slope_change_delta,hr_burden_plus3_post5_recovery,hr_burden_plus3_post5_control,hr_burden_plus3_post5_delta,hr_coverage_post5_recovery,hr_coverage_post5_control,hr_coverage_post5_delta
0D02,P2,3,2025-07-10 13:29:02.990000+00:00,9.299,0.07569721115537849,D first,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,72.9,62.3,10.600000000000009,73.4,59.6,13.800000000000004,0.5,-2.6999999999999957,3.1999999999999957,0.1999999999999986,-0.6121212121212135,0.8121212121212121,-0.10000000000000496,-0.9000000000000035,0.7999999999999985,-0.30000000000000354,-0.28787878787878995,-0.012121212121213587,0.0,0.0,0.0,1.0,1.0,0.0
0D02,P2,4,2025-07-10 13:29:14.236000+00:00,7.334,0.09760956175298804,D first,2,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,73.2,57.7,15.5,72.8,60.2,12.599999999999994,-0.4000000000000057,2.5,-2.9000000000000057,-0.04848484848484634,-0.5999999999999986,0.5515151515151523,-0.5000000000000022,0.8999999999999965,-1.3999999999999986,-0.45151515151515587,1.4999999999999951,-1.951515151515151,0.0,0.0,0.0,1.0,1.0,0.0
0D02,P2,6,2025-07-10 13:29:32.421000+00:00,9.378,0.13346613545816732,D first,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,69.9,62.1,7.800000000000004,67.2,61.0,6.200000000000003,-2.700000000000003,-1.1000000000000014,-1.6000000000000014,-0.22424242424242202,-0.47878787878787693,0.2545454545454549,-0.1000000000000052,0.799999999999996,-0.9000000000000012,0.12424242424241683,1.278787878787873,-1.154545454545456,0.0,0.0,0.0,1.0,1.0,0.0
0D02,P2,8,2025-07-10 13:29:51.963000+00:00,7.996,0.17330677290836655,D first,2,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,64.4,58.0,6.400000000000006,63.8,60.2,3.5999999999999943,-0.6000000000000085,2.200000000000003,-2.8000000000000114,-0.1333333333333338,-0.4969696969696966,0.3636363636363628,-0.30000000000000054,1.4999999999999918,-1.7999999999999923,-0.16666666666666674,1.9969696969696884,-2.163636363636355,0.0,0.0,0.0,1.0,1.0,0.0
0D02,P2,9,2025-07-10 13:30:02.179000+00:00,10.017,0.19322709163346613,D first,5,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,65.1,61.4,3.6999999999999957,64.0,64.6,-0.5999999999999943,-1.0999999999999943,3.1999999999999957,-4.29999999999999,0.3333333333333363,0.8727272727272737,-0.5393939393939373,-6.725069273251686e-15,0.4999999999999963,-0.500000000000003,-0.33333333333334303,-0.3727272727272774,0.039393939393934374,0.0,1.0,-1.0,1.0,1.0,0.0
0D02,P2,10,2025-07-10 13:30:13.731000+00:00,7.684,0.21713147410358566,D first,2,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,66.4,64.9,1.5,67.2,63.4,3.8000000000000043,0.7999999999999972,-1.500000000000007,2.3000000000000043,0.4242424242424229,0.09090909090908939,0.33333333333333354,0.19999999999999107,-0.5000000000000042,0.6999999999999953,-0.22424242424243185,-0.5909090909090936,0.36666666666666176,0.0,0.6,-0.6,1.0,1.0,0.0
0D02,P2,11,2025-07-10 13:30:22.776000+00:00,11.033,0.2350597609561753,D first,6,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,67.3,61.7,5.599999999999994,66.2,56.8,9.400000000000006,-1.0999999999999943,-4.900000000000006,3.8000000000000114,0.05454545454545534,-1.036363636363635,1.0909090909090904,-0.6000000000000072,1.1999999999999935,-1.8000000000000007,-0.6545454545454625,2.2363636363636283,-2.8909090909090907,0.0,0.0,0.0,1.0,1.0,0.0
0D02,P2,13,2025-07-10 13:30:44.217000+00:00,7.156,0.27689243027888444,D first,2,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,64.1,66.7,-2.6000000000000085,64.2,65.6,-1.3999999999999915,0.10000000000000853,-1.1000000000000085,1.200000000000017,-0.3333333333333335,0.5151515151515148,-0.8484848484848483,-0.10000000000000643,-1.0000000000000009,0.8999999999999945,0.23333333333332706,-1.5151515151515156,1.7484848484848428,0.0,0.8,-0.8,1.0,1.0,0.0
0D02,P2,14,2025-07-10 13:30:52.376000+00:00,7.633,0.29282868525896416,D first,2,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,64.8,65.5,-0.7000000000000028,68.2,60.2,8.0,3.4000000000000057,-5.299999999999997,8.700000000000003,0.30303030303030554,-0.8545454545454547,1.1575757575757604,0.09999999999999162,0.3999999999999964,-0.3000000000000048,-0.2030303030303139,1.254545454545451,-1.457575757575765,0.0,0.0,0.0,1.0,1.0,0.0
0D02,P2,15,2025-07-10 13:31:02.574000+00:00,10.418,0.3147410358565737,D first,5,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,69.6,61.6,7.999999999999993,72.0,64.2,7.799999999999997,2.4000000000000057,2.6000000000000014,-0.19999999999999574,0.5212121212121241,0.5212121212121223,1.7763568394002505e-15,-0.6000000000000042,-0.3000000000000175,-0.2999999999999867,-1.1212121212121282,-0.8212121212121398,-0.2999999999999884,0.0,0.8,-0.8,1.0,1.0,0.0
0D02,P2,17,2025-07-10 13:31:22.923000+00:00,9.414,0.3545816733067729,D first,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,84.3,62.3,22.0,86.6,62.0,24.599999999999994,2.299999999999997,-0.29999999999999716,2.5999999999999943,0.5757575757575764,0.15151515151515124,0.4242424242424251,-0.5000000000000094,-9.998358086562775e-16,-0.5000000000000084,-1.075757575757586,-0.15151515151515224,-0.9242424242424336,1.0,0.0,1.0,1.0,1.0,0.0
